"Sensor_Name","Date","sum(Hourly_Counts)"
"Flagstaff Station",2010-02-18,26234
"Flagstaff Station",2010-02-19,23808
"Flagstaff Station",2010-02-20,1126
"Flagstaff Station",2010-02-21,828
"Flagstaff Station",2010-02-22,25630
"Flagstaff Station",2010-02-23,26795
"Flagstaff Station",2010-02-24,26117
"Flagstaff Station",2010-02-25,26195
"Flagstaff Station",2010-02-26,24202
"Flagstaff Station",2010-02-27,1166
"Flagstaff Station",2010-02-28,797
"Flagstaff Station",2010-03-01,25676
"Flagstaff Station",2010-03-02,26756
"Flagstaff Station",2010-03-03,25729
"Flagstaff Station",2010-03-04,26279
"Flagstaff Station",2010-03-05,24436
"Flagstaff Station",2010-03-06,1564
"Flagstaff Station",2010-03-07,748
"Flagstaff Station",2010-03-08,879
"Flagstaff Station",2010-03-09,25900
"Flagstaff Station",2010-03-10,26486
"Flagstaff Station",2010-03-11,26393
"Flagstaff Station",2010-03-12,25341
"Flagstaff Station",2010-03-13,1211
"Flagstaff Station",2010-03-14,958
"Flagstaff Station",2010-03-15,26510
"Flagstaff Station",2010-03-16,26686
"Flagstaff Station",2010-03-17,26127
"Flagstaff Station",2010-03-18,26808
"Flagstaff Station",2010-03-19,26352
"Flagstaff Station",2010-03-20,1460
"Flagstaff Station",2010-03-21,1096
"Flagstaff Station",2010-03-22,26248
"Flagstaff Station",2010-03-23,26111
"Flagstaff Station",2010-03-24,26863
"Flagstaff Station",2010-03-25,26272
"Flagstaff Station",2010-03-26,23905
"Flagstaff Station",2010-03-27,1476
"Flagstaff Station",2010-03-28,1073
"Flagstaff Station",2010-03-29,25415
"Flagstaff Station",2010-03-30,25469
"Flagstaff Station",2010-03-31,24899
"Flagstaff Station",2010-04-01,23137
"Flagstaff Station",2010-04-02,821
"Flagstaff Station",2010-04-03,1111
"Flagstaff Station",2010-04-04,911
"Flagstaff Station",2010-04-05,858
"Flagstaff Station",2010-04-06,22311
"Flagstaff Station",2010-04-07,23427
"Flagstaff Station",2010-04-08,23903
"Flagstaff Station",2010-04-09,22767
"Flagstaff Station",2010-04-10,1285
"Flagstaff Station",2010-04-11,896
"Flagstaff Station",2010-04-12,26201
"Flagstaff Station",2010-04-13,25930
"Flagstaff Station",2010-04-14,25497
"Flagstaff Station",2010-04-15,26184
"Flagstaff Station",2010-04-16,24346
"Flagstaff Station",2010-04-17,1409
"Flagstaff Station",2010-04-18,993
"Flagstaff Station",2010-04-19,25815
"Flagstaff Station",2010-04-20,26588
"Flagstaff Station",2010-04-21,26344
"Flagstaff Station",2010-04-22,26216
"Flagstaff Station",2010-04-23,25089
"Flagstaff Station",2010-04-24,1096
"Flagstaff Station",2010-04-25,894
"Flagstaff Station",2010-04-26,658
"Flagstaff Station",2010-04-27,26468
"Flagstaff Station",2010-04-28,25369
"Flagstaff Station",2010-04-29,26474
"Flagstaff Station",2010-04-30,24443
"Flagstaff Station",2010-05-01,1282
"Flagstaff Station",2010-05-02,734
"Flagstaff Station",2010-05-03,25965
"Flagstaff Station",2010-05-04,27092
"Flagstaff Station",2010-05-05,25986
"Flagstaff Station",2010-05-06,25927
"Flagstaff Station",2010-05-07,24281
"Flagstaff Station",2010-05-08,1078
"Flagstaff Station",2010-05-09,730
"Flagstaff Station",2010-05-10,25825
"Flagstaff Station",2010-05-11,26463
"Flagstaff Station",2010-05-12,25382
"Flagstaff Station",2010-05-13,25370
"Flagstaff Station",2010-05-14,23683
"Flagstaff Station",2010-05-15,943
"Flagstaff Station",2010-05-16,800
"Flagstaff Station",2010-05-17,24819
"Flagstaff Station",2010-05-18,25882
"Flagstaff Station",2010-05-19,24780
"Flagstaff Station",2010-05-20,25601
"Flagstaff Station",2010-05-21,23684
"Flagstaff Station",2010-05-22,1130
"Flagstaff Station",2010-05-23,800
"Flagstaff Station",2010-05-24,24710
"Flagstaff Station",2010-05-25,25413
"Flagstaff Station",2010-05-26,25256
"Flagstaff Station",2010-05-27,25168
"Flagstaff Station",2010-05-28,23847
"Flagstaff Station",2010-05-29,1092
"Flagstaff Station",2010-05-30,807
"Flagstaff Station",2010-05-31,25406
"Flagstaff Station",2010-06-01,25393
"Flagstaff Station",2010-06-02,24516
"Flagstaff Station",2010-06-03,24795
"Flagstaff Station",2010-06-04,23694
"Flagstaff Station",2010-06-05,998
"Flagstaff Station",2010-06-06,734
"Flagstaff Station",2010-06-07,24648
"Flagstaff Station",2010-06-08,25733
"Flagstaff Station",2010-06-09,26552
"Flagstaff Station",2010-06-10,24945
"Flagstaff Station",2010-06-11,22799
"Flagstaff Station",2010-06-12,1062
"Flagstaff Station",2010-06-13,876
"Flagstaff Station",2010-06-14,754
"Flagstaff Station",2010-06-15,23596
"Flagstaff Station",2010-06-16,24505
"Flagstaff Station",2010-06-17,24524
"Flagstaff Station",2010-06-18,23942
"Flagstaff Station",2010-06-19,1042
