"date","maxTemp","minTemp"
2009-11-08,34.2,19.4
2009-11-09,35.5,19.7
2009-11-10,36.3,20.2
2009-11-11,34.4,20.8
2009-11-12,29.8,18.8
2009-11-13,27.2,15.6
2009-11-14,30.3,16.5
2009-11-15,25.9,15.4
2009-11-16,22.7,17.1
2009-11-17,22.6,14.9
2009-11-18,33.4,15.6
2009-11-19,34.6,18.7
2009-11-20,38.3,22.9
2009-11-21,25.9,18.6
2009-11-22,18.4,15.2
2009-11-23,22,11.3
2009-11-24,26.6,12
2009-11-25,25.4,15.6
2009-11-26,30,17.3
2009-11-27,28.8,18.8
2009-11-28,22.7,16.3
2009-11-29,21.8,12.7
2009-11-30,20.8,14
2009-12-01,22.7,12.1
2009-12-02,29.9,11.5
2009-12-03,32.3,16.3
2009-12-04,22.4,12.1
2009-12-05,22,13.2
2009-12-06,26.3,13.2
2009-12-07,23.1,15.3
2009-12-08,17.8,14.5
2009-12-09,25.9,9.6
2009-12-10,24.4,15.3
2009-12-11,20.5,10.7
2009-12-12,22.6,14.5
2009-12-13,21.5,14.9
2009-12-14,21.1,14.5
2009-12-15,31.3,13.6
2009-12-16,39.2,17.4
2009-12-17,23.1,19.7
2009-12-18,23.8,11.1
2009-12-19,21.4,14
2009-12-20,22.1,14.7
2009-12-21,28.2,12.5
2009-12-22,27.5,15.9
2009-12-23,39,16.2
2009-12-24,25.7,20.9
2009-12-25,21.2,14.4
2009-12-26,22.1,12.9
2009-12-27,23.1,14.7
2009-12-28,24.8,17.5
2009-12-29,24.3,16.5
2009-12-30,38.3,16.1
2009-12-31,36.7,20.5
2010-01-01,20.8,19.2
2010-01-02,22.5,15.5
2010-01-03,21.4,14.5
2010-01-04,27.6,13.4
2010-01-05,25,16
2010-01-06,23.6,16.1
2010-01-07,24.7,14.8
2010-01-08,36.6,14.8
2010-01-09,38.7,20.6
2010-01-10,29.6,17.1
2010-01-11,43.6,19
2010-01-12,35.6,24.2
2010-01-13,23,17.4
2010-01-14,23.4,15.3
2010-01-15,26.8,16.3
2010-01-16,33.1,16.9
2010-01-17,21,13.8
2010-01-18,20.6,10.4
2010-01-19,22.9,11.3
2010-01-20,28.2,14.5
2010-01-21,28.5,16
2010-01-22,37.5,19.5
2010-01-23,22.3,17.4
2010-01-24,22.3,12.7
2010-01-25,23.8,13.6
2010-01-26,24.5,13.8
2010-01-27,22.2,16.2
2010-01-28,26.1,15.8
2010-01-29,23.5,17.5
2010-01-30,36.2,13.4
2010-01-31,37.2,17.1
2010-02-01,24.9,16.9
2010-02-02,35.2,16.7
2010-02-03,34.8,21.6
2010-02-04,30.8,25.5
2010-02-05,20.9,17.6
2010-02-06,26.5,15.5
2010-02-07,33.2,14.9
2010-02-08,35.3,19
2010-02-09,32.1,19.3
2010-02-10,32.7,20.1
2010-02-11,31.4,22.2
2010-02-12,22.8,19.5
2010-02-13,21.3,18.2
2010-02-14,28.3,17.7
2010-02-15,27.3,19
2010-02-16,27.3,16
2010-02-17,25.9,15.9
2010-02-18,24.1,17.5
2010-02-19,32.8,17.1
2010-02-20,34.3,23
2010-02-21,28.6,21.6
2010-02-22,29.6,19.1
2010-02-23,23.6,13.3
2010-02-24,23.3,12.7
2010-02-25,25.1,14.2
2010-02-26,33.4,16.2
2010-02-27,22.6,22.4
2010-02-28,20.7,16.3
2010-03-01,21.4,14.1
2010-03-02,22.4,14.1
2010-03-03,27.7,15.8
2010-03-04,31.3,16.5
2010-03-05,26.7,20.5
2010-03-06,26.8,19.8
2010-03-07,27.3,17.9
2010-03-08,22.5,16.4
2010-03-09,21.2,16.2
2010-03-10,20.4,13.7
2010-03-11,22.2,13.7
2010-03-12,26.4,11.1
2010-03-13,28.3,13.7
2010-03-14,28.8,13.8
2010-03-15,30.4,15.3
2010-03-16,32.2,18.5
2010-03-17,33,21.5
2010-03-18,31.9,20.9
2010-03-19,28.4,23
2010-03-20,26.7,18.8
2010-03-21,24.7,17.5
2010-03-22,22.5,13.1
2010-03-23,23.7,13.3
2010-03-24,23.4,15.8
2010-03-25,31.5,12.8
2010-03-26,30.7,14.8
2010-03-27,22.7,17.2
2010-03-28,27.2,17.8
2010-03-29,23.3,17.9
2010-03-30,22.6,15.1
2010-03-31,23.9,13.4
2010-04-01,24,13.8
2010-04-02,21.9,16.1
2010-04-03,24.4,13.9
2010-04-04,25.8,12.7
2010-04-05,26.9,14.9
2010-04-06,25.3,18.4
2010-04-07,25.7,17.2
2010-04-08,22.9,17.7
2010-04-09,21.7,13.5
2010-04-10,22.6,15
2010-04-11,17.7,11.8
2010-04-12,17.8,11.2
2010-04-13,17.8,13.1
2010-04-14,18.4,13.2
2010-04-15,19.1,14
2010-04-16,25.9,13.2
2010-04-17,27.3,13.6
2010-04-18,27.7,16
2010-04-19,27.6,16.1
2010-04-20,29.4,17.5
2010-04-21,24.5,17.3
2010-04-22,30.1,16.4
2010-04-23,26.4,20.8
2010-04-24,24.5,19
2010-04-25,20.1,12.2
2010-04-26,20.4,8.7
2010-04-27,17.8,11.7
2010-04-28,18.1,8.8
2010-04-29,18.4,12.8
2010-04-30,16.6,13
2010-05-01,20.9,8.2
2010-05-02,17.7,13.5
2010-05-03,23,9.2
2010-05-04,23.5,11.6
2010-05-05,17.3,9.1
2010-05-06,18,11.4
2010-05-07,19.8,10.4
2010-05-08,19.9,12.9
2010-05-09,22.5,13
2010-05-10,20.6,14.5
2010-05-11,15.8,7.6
2010-05-12,16.1,8.5
2010-05-13,15.1,9.5
2010-05-14,15,11.5
2010-05-15,17.7,12.6
2010-05-16,18.5,6.2
2010-05-17,17.2,7.3
2010-05-18,18.6,6.9
2010-05-19,18.8,6.1
2010-05-20,18.1,7.6
2010-05-21,16.1,9.9
2010-05-22,16.1,4.3
2010-05-23,18.6,4
2010-05-24,15.6,6.2
2010-05-25,15,11.9
2010-05-26,19.6,11.3
2010-05-27,18.7,10.8
2010-05-28,17,10.9
2010-05-29,17.2,12.6
2010-05-30,18.1,12.1
2010-05-31,18.7,11.5
2010-06-01,17.6,7.9
2010-06-02,17.9,10.3
2010-06-03,15.7,7.1
2010-06-04,12.4,6.2
2010-06-05,13.9,8.2
2010-06-06,15.7,8.9
2010-06-07,13.6,8.3
2010-06-08,14.3,9.1
2010-06-09,14.1,8.2
2010-06-10,16.1,7.7
2010-06-11,14,9.1
2010-06-12,13.2,8
2010-06-13,13.1,8.6
2010-06-14,15.3,7.9
2010-06-15,15,5.8
2010-06-16,16.1,4
2010-06-17,14.3,7.8
2010-06-18,14.8,7.3
2010-06-19,16.8,8
2010-06-20,14.7,12
2010-06-21,15.1,5.8
2010-06-22,14.3,3.6
2010-06-23,17.2,5.1
2010-06-24,18.3,8.6
2010-06-25,14.7,12.8
2010-06-26,13.3,6.7
2010-06-27,12.9,6.1
2010-06-28,11.4,3.9
2010-06-29,10.8,5.7
2010-06-30,12.8,6.8
2010-07-01,12.3,7.6
2010-07-02,12.4,8.2
2010-07-03,14,8.3
2010-07-04,12.8,8.4
2010-07-05,14.3,5.9
2010-07-06,14.6,4.3
2010-07-07,15,4.1
2010-07-08,14.1,7.4
2010-07-09,16.5,3.6
2010-07-10,15.9,4.5
2010-07-11,16.1,10.8
2010-07-12,16.7,9.3
2010-07-13,16.8,9.7
2010-07-14,12.7,9.9
