"","Sensor_Name","Date","sum.Hourly_Counts.","Bus","Tram","PedBusRatio","PedTramRatio"
"133","Flagstaff Station",2009-10-11,725,254624,5e+05,0.00284733567927611,0.00145
"134","Flagstaff Station",2009-10-12,25167,254624,5e+05,0.0988398579866784,0.050334
"135","Flagstaff Station",2009-10-13,24870,254624,5e+05,0.0976734321980646,0.04974
"136","Flagstaff Station",2009-10-14,25128,254624,5e+05,0.0986866909639311,0.050256
"137","Flagstaff Station",2009-10-15,25052,254624,5e+05,0.0983882116375518,0.050104
"138","Flagstaff Station",2009-10-16,22422,254624,5e+05,0.0880592560010054,0.044844
"139","Flagstaff Station",2009-10-17,1352,254624,5e+05,0.00530979012190524,0.002704
"140","Flagstaff Station",2009-10-18,807,254624,5e+05,0.00316937916300113,0.001614
"141","Flagstaff Station",2009-10-19,24218,254624,5e+05,0.0951127937664949,0.048436
"142","Flagstaff Station",2009-10-20,26491,254624,5e+05,0.10403968204097,0.052982
"143","Flagstaff Station",2009-10-21,25041,254624,5e+05,0.098345010682418,0.050082
"144","Flagstaff Station",2009-10-22,25525,254624,5e+05,0.100245852708307,0.05105
"145","Flagstaff Station",2009-10-23,23325,254624,5e+05,0.0916056616815383,0.04665
"146","Flagstaff Station",2009-10-24,1302,254624,5e+05,0.00511342214402413,0.002604
"147","Flagstaff Station",2009-10-25,739,254624,5e+05,0.00290231871308282,0.001478
"148","Flagstaff Station",2009-10-26,25164,254624,5e+05,0.0988280759080055,0.050328
"149","Flagstaff Station",2009-10-27,26233,254624,5e+05,0.103026423275104,0.052466
"150","Flagstaff Station",2009-10-28,24808,254624,5e+05,0.097429935905492,0.049616
"151","Flagstaff Station",2009-10-29,25573,254624,5e+05,0.100434365967073,0.051146
"152","Flagstaff Station",2009-10-30,23415,254624,5e+05,0.0919591240417243,0.04683
"153","Flagstaff Station",2009-10-31,1042,254624,5e+05,0.00409230865904235,0.002084
"154","Flagstaff Station",2009-11-01,846,254624,5e+05,0.0033225461857484,0.001692
"155","Flagstaff Station",2009-11-02,17891,254624,5e+05,0.0702643898454191,0.035782
"156","Flagstaff Station",2009-11-03,882,254624,5e+05,0.0034639311298228,0.001764
"157","Flagstaff Station",2009-11-04,24551,254624,5e+05,0.0964206044991831,0.049102
"158","Flagstaff Station",2009-11-05,24566,254624,5e+05,0.0964795148925474,0.049132
"159","Flagstaff Station",2009-11-06,23776,254624,5e+05,0.0933769008420259,0.047552
"160","Flagstaff Station",2009-11-07,1018,254624,5e+05,0.00399805202965942,0.002036
"161","Flagstaff Station",2009-11-08,727,254624,5e+05,0.00285519039839135,0.001454
"162","Flagstaff Station",2009-11-09,25137,254624,5e+05,0.0987220371999497,0.050274
"163","Flagstaff Station",2009-11-10,24962,254624,5e+05,0.0980347492773658,0.049924
"164","Flagstaff Station",2009-11-11,25155,254624,5e+05,0.0987927296719869,0.05031
"165","Flagstaff Station",2009-11-12,26486,254624,5e+05,0.104020045243182,0.052972
"166","Flagstaff Station",2009-11-13,23212,254624,5e+05,0.091161870051527,0.046424
"167","Flagstaff Station",2009-11-14,1178,254624,5e+05,0.00462642955887897,0.002356
"168","Flagstaff Station",2009-11-15,892,254624,5e+05,0.00350320472539902,0.001784
"169","Flagstaff Station",2009-11-16,25170,254624,5e+05,0.0988516400653513,0.05034
"170","Flagstaff Station",2009-11-17,25969,254624,5e+05,0.101989600351891,0.051938
"171","Flagstaff Station",2009-11-18,25732,254624,5e+05,0.101058816136735,0.051464
"172","Flagstaff Station",2009-11-19,24496,254624,5e+05,0.0962045997235139,0.048992
"173","Flagstaff Station",2009-11-20,23545,254624,5e+05,0.0924696807842151,0.04709
"174","Flagstaff Station",2009-11-21,1193,254624,5e+05,0.00468533995224331,0.002386
"175","Flagstaff Station",2009-11-22,691,254624,5e+05,0.00271380545431695,0.001382
"176","Flagstaff Station",2009-11-23,25784,254624,5e+05,0.101263038833731,0.051568
"177","Flagstaff Station",2009-11-24,25958,254624,5e+05,0.101946399396758,0.051916
"178","Flagstaff Station",2009-11-25,25195,254624,5e+05,0.0989498240542918,0.05039
"179","Flagstaff Station",2009-11-26,27279,254624,5e+05,0.107134441372377,0.054558
"180","Flagstaff Station",2009-11-27,23581,254624,5e+05,0.0926110657282896,0.047162
"181","Flagstaff Station",2009-11-28,1226,254624,5e+05,0.00481494281764484,0.002452
"182","Flagstaff Station",2009-11-29,824,254624,5e+05,0.00323614427548071,0.001648
"183","Flagstaff Station",2009-11-30,25760,254624,5e+05,0.101168782204348,0.05152
"184","Flagstaff Station",2009-12-01,25649,254624,5e+05,0.100732845293452,0.051298
"185","Flagstaff Station",2009-12-02,25832,254624,5e+05,0.101451552092497,0.051664
"186","Flagstaff Station",2009-12-03,26069,254624,5e+05,0.102382336307654,0.052138
"187","Flagstaff Station",2009-12-04,24455,254624,5e+05,0.0960435779816514,0.04891
"188","Flagstaff Station",2009-12-05,1109,254624,5e+05,0.00435544174940304,0.002218
"189","Flagstaff Station",2009-12-06,962,254624,5e+05,0.00377811989443258,0.001924
"190","Flagstaff Station",2009-12-07,25207,254624,5e+05,0.0989969523689833,0.050414
"191","Flagstaff Station",2009-12-08,30888,254624,5e+05,0.121308282015835,0.061776
"192","Flagstaff Station",2009-12-09,26577,254624,5e+05,0.104377434962926,0.053154
"193","Flagstaff Station",2009-12-10,25472,254624,5e+05,0.100037702651753,0.050944
"194","Flagstaff Station",2009-12-11,25304,254624,5e+05,0.0993779062460726,0.050608
"195","Flagstaff Station",2009-12-12,1223,254624,5e+05,0.00480316073897197,0.002446
"196","Flagstaff Station",2009-12-13,833,254624,5e+05,0.00327149051149931,0.001666
"197","Flagstaff Station",2009-12-14,25817,254624,5e+05,0.101392641699133,0.051634
"198","Flagstaff Station",2009-12-15,25906,254624,5e+05,0.101742176699761,0.051812
"199","Flagstaff Station",2009-12-16,24285,254624,5e+05,0.0953759268568556,0.04857
"200","Flagstaff Station",2009-12-17,27014,254624,5e+05,0.106093691089607,0.054028
"201","Flagstaff Station",2009-12-18,24071,254624,5e+05,0.0945354719115244,0.048142
"202","Flagstaff Station",2009-12-19,1223,254624,5e+05,0.00480316073897197,0.002446
"203","Flagstaff Station",2009-12-20,768,254624,5e+05,0.00301621214025386,0.001536
"204","Flagstaff Station",2009-12-21,21438,254624,5e+05,0.0841947341963051,0.042876
"205","Flagstaff Station",2009-12-22,21553,254624,5e+05,0.0846463805454317,0.043106
"206","Flagstaff Station",2009-12-23,18550,254624,5e+05,0.0728525197938922,0.0371
"207","Flagstaff Station",2009-12-24,13168,254624,5e+05,0.0517154706547694,0.026336
"208","Flagstaff Station",2009-12-25,504,254624,5e+05,0.0019793892170416,0.001008
"209","Flagstaff Station",2009-12-26,636,254624,5e+05,0.00249780067864773,0.001272
"210","Flagstaff Station",2009-12-27,733,254624,5e+05,0.00287875455573709,0.001466
"211","Flagstaff Station",2009-12-28,815,254624,5e+05,0.00320079803946211,0.00163
"212","Flagstaff Station",2009-12-29,8852,254624,5e+05,0.0347649868040719,0.017704
"213","Flagstaff Station",2009-12-30,8631,254624,5e+05,0.0338970403418374,0.017262
"214","Flagstaff Station",2009-12-31,7395,254624,5e+05,0.0290428239286163,0.01479
"215","Flagstaff Station",2010-01-01,749,267139,5e+05,0.00280378379794788,0.001498
"216","Flagstaff Station",2010-01-02,703,267139,5e+05,0.00263158879834094,0.001406
"217","Flagstaff Station",2010-01-03,667,267139,5e+05,0.00249682749430072,0.001334
"218","Flagstaff Station",2010-01-04,15518,267139,5e+05,0.0580896087804476,0.031036
"219","Flagstaff Station",2010-01-05,16174,267139,5e+05,0.060545259209625,0.032348
"220","Flagstaff Station",2010-01-06,16665,267139,5e+05,0.0623832536619513,0.03333
"221","Flagstaff Station",2010-01-07,17119,267139,5e+05,0.0640827434406807,0.034238
"222","Flagstaff Station",2010-01-08,15601,267139,5e+05,0.0584003084536515,0.031202
"223","Flagstaff Station",2010-01-09,750,267139,5e+05,0.00280752716750456,0.0015
"224","Flagstaff Station",2010-01-10,629,267139,5e+05,0.00235457945114716,0.001258
"225","Flagstaff Station",2010-01-11,18249,267139,5e+05,0.0683127510397209,0.036498
"226","Flagstaff Station",2010-01-12,19319,267139,5e+05,0.0723181564653607,0.038638
"227","Flagstaff Station",2010-01-13,20461,267139,5e+05,0.076593084499081,0.040922
"228","Flagstaff Station",2010-01-14,21111,267139,5e+05,0.0790262747109183,0.042222
"229","Flagstaff Station",2010-01-15,19899,267139,5e+05,0.0744893108082309,0.039798
"230","Flagstaff Station",2010-01-16,993,267139,5e+05,0.00371716596977603,0.001986
"231","Flagstaff Station",2010-01-17,694,267139,5e+05,0.00259789847233088,0.001388
"232","Flagstaff Station",2010-01-18,24054,267139,5e+05,0.0900430113162062,0.048108
"233","Flagstaff Station",2010-01-19,23455,267139,5e+05,0.0878007329517592,0.04691
"234","Flagstaff Station",2010-01-20,23033,267139,5e+05,0.0862210309988433,0.046066
"235","Flagstaff Station",2010-01-21,22950,267139,5e+05,0.0859103313256395,0.0459
